,Home,Away,stadium,Season
0,Bournemouth,Crystal Palace, Vitality Stadium,2019/2020
1,Aston Villa,Sheffield Utd, Villa Park,2019/2020
2,Aston Villa,Chelsea, Villa Park,2019/2020
3,Brighton,Arsenal, Amex Stadium,2019/2020
4,Burnley,Watford, Turf Moor,2019/2020
5,Chelsea,Man City, Stamford Bridge,2019/2020
6,Everton,Liverpool, Goodison Park,2019/2020
7,Leicester,Brighton, King Power Stadium,2019/2020
8,Liverpool,Crystal Palace, Anfield,2019/2020
9,Man City,Arsenal, Etihad Stadium,2019/2020
10,Man City,Burnley, Etihad Stadium,2019/2020
11,Man City,Newcastle, Etihad Stadium,2019/2020
12,Man Utd,Sheffield Utd, Old Trafford,2019/2020
13,Newcastle,Aston Villa, St. James' Park,2019/2020
14,Newcastle,Sheffield Utd, St. James' Park,2019/2020
15,Norwich,Southampton, Carrow Road,2019/2020
16,Norwich,Everton, Carrow Road,2019/2020
17,Southampton,Arsenal, St. Mary's Stadium,2019/2020
18,Spurs,Man Utd, Tottenham Hotspur Stadium,2019/2020
19,Spurs,West Ham, Tottenham Hotspur Stadium,2019/2020
20,Watford,Leicester, Vicarage Road,2019/2020
21,West Ham,Wolves, London Stadium,2019/2020
22,Wolves,Bournemouth, Molineux Stadium,2019/2020
23,Aston Villa,Wolves, Villa Park,2019/2020
24,Bournemouth,Newcastle, Vitality Stadium,2019/2020
25,Arsenal,Norwich, Emirates Stadium,2019/2020
26,Brighton,Man Utd, Amex Stadium,2019/2020
27,Crystal Palace,Burnley, Selhurst Park,2019/2020
28,Watford,Southampton, Vicarage Road,2019/2020
29,Sheffield Utd,Spurs, Bramall Lane,2019/2020
30,West Ham,Chelsea, London Stadium,2019/2020
31,Man City,Liverpool, Etihad Stadium,2019/2020
32,Everton,Leicester, Goodison Park,2019/2020
33,Newcastle,West Ham, St. James' Park,2019/2020
34,Man Utd,Bournemouth, Old Trafford,2019/2020
35,Burnley,Sheffield Utd, Turf Moor,2019/2020
36,Leicester,Crystal Palace, King Power Stadium,2019/2020
37,Norwich,Brighton, Carrow Road,2019/2020
38,Southampton,Man City, St. Mary's Stadium,2019/2020
39,Spurs,Everton, Tottenham Hotspur Stadium,2019/2020
40,Chelsea,Watford, Stamford Bridge,2019/2020
41,Liverpool,Aston Villa, Anfield,2019/2020
42,Wolves,Arsenal, Molineux Stadium,2019/2020
43,Crystal Palace,Chelsea, Selhurst Park,2019/2020
44,Bournemouth,Spurs, Vitality Stadium,2019/2020
45,Everton,Southampton, Goodison Park,2019/2020
46,Watford,Norwich, Vicarage Road,2019/2020
47,West Ham,Burnley, London Stadium,2019/2020
48,Arsenal,Leicester, Emirates Stadium,2019/2020
49,Sheffield Utd,Wolves, Bramall Lane,2019/2020
50,Aston Villa,Man Utd, Villa Park,2019/2020
51,Brighton,Liverpool, Amex Stadium,2019/2020
52,Liverpool,Burnley, Anfield,2019/2020
53,Bournemouth,Leicester, Vitality Stadium,2019/2020
54,Man Utd,Southampton, Old Trafford,2019/2020
55,Norwich,West Ham, Carrow Road,2019/2020
56,Watford,Newcastle, Vicarage Road,2019/2020
57,Wolves,Everton, Molineux Stadium,2019/2020
58,Brighton,Man City, Amex Stadium,2019/2020
59,Sheffield Utd,Chelsea, Bramall Lane,2019/2020
60,Spurs,Arsenal, Tottenham Hotspur Stadium,2019/2020
61,Aston Villa,Crystal Palace, Villa Park,2019/2020
62,Arsenal,Liverpool, Emirates Stadium,2019/2020
63,Burnley,Wolves, Turf Moor,2019/2020
64,Chelsea,Norwich, Stamford Bridge,2019/2020
65,Crystal Palace,Man Utd, Selhurst Park,2019/2020
66,Everton,Aston Villa, Goodison Park,2019/2020
67,Leicester,Sheffield Utd, King Power Stadium,2019/2020
68,Man City,Bournemouth, Etihad Stadium,2019/2020
69,Newcastle,Spurs, St. James' Park,2019/2020
70,Southampton,Brighton, St. Mary's Stadium,2019/2020
71,West Ham,Watford, London Stadium,2019/2020
72,Bournemouth,Southampton, Vitality Stadium,2019/2020
73,Aston Villa,Arsenal, Villa Park,2019/2020
74,Brighton,Newcastle, Amex Stadium,2019/2020
75,Liverpool,Chelsea, Anfield,2019/2020
76,Man Utd,West Ham, Old Trafford,2019/2020
77,Norwich,Burnley, Carrow Road,2019/2020
78,Sheffield Utd,Everton, Bramall Lane,2019/2020
79,Spurs,Leicester, Tottenham Hotspur Stadium,2019/2020
80,Watford,Man City, Vicarage Road,2019/2020
81,Wolves,Crystal Palace, Molineux Stadium,2019/2020
82,Arsenal,Watford, Emirates Stadium,2019/2020
83,Burnley,Brighton, Turf Moor,2019/2020
84,Chelsea,Wolves, Stamford Bridge,2019/2020
85,Crystal Palace,Spurs, Selhurst Park,2019/2020
86,Everton,Bournemouth, Goodison Park,2019/2020
87,Leicester,Man Utd, King Power Stadium,2019/2020
88,Man City,Norwich, Etihad Stadium,2019/2020
89,Newcastle,Liverpool, St. James' Park,2019/2020
90,Southampton,Sheffield Utd, St. Mary's Stadium,2019/2020
91,West Ham,Aston Villa, London Stadium,2019/2020
